Date,FirstImpulse,ImpulseMFE,ImpulseMAE
2010-06-22,Up,8.776990417856723,37.66475458214336
2010-06-23,Down,20.293283210714435,16.80169578928553
2010-06-24,Down,23.456016589285355,12.178530410714302
2010-06-25,Down,19.603190889285543,14.570924110714259
2010-06-28,Down,16.37954182500016,18.962919175000025
2010-06-29,Down,60.99550043214276,1.5109995678571977
2010-06-30,Up,12.278353799999877,36.79216919999999
2010-07-01,Down,42.80526836071431,12.983242639285663
2010-07-02,Down,20.817418417857198,13.648782582142758
2010-07-06,Down,33.884115032142745,19.567704967857253
2010-07-07,Up,52.581820249999964,5.835469749999902
2010-07-08,Down,21.968030142856605,8.993132857143337
2010-07-09,Up,12.800688239286046,9.105794760714161
2010-07-12,Up,14.360221446428568,13.095904553571017
2010-07-13,Down,8.081405835714122,25.80062216428587
2010-07-14,Up,11.725184450000143,16.31511455000009
2010-07-15,Down,15.644358853571248,19.698102146428937
2010-07-16,Down,47.10519941785742,1.0890645821427825
2010-07-19,Up,8.51953516071444,25.07040583928574
2010-07-20,Up,54.161172171428916,3.379857828571403
2010-07-21,Down,48.804515964285656,2.894785035713994
2010-07-22,Up,28.050730467857193,2.3262595321430126
2010-07-23,Up,22.235081167857516,11.939032832142402
2010-07-26,Down,2.1103243714283053,23.88536862857154
2010-07-27,Down,14.225654049999775,9.141261950000171
2010-07-28,Up,2.5244611249995614,30.773393875000238
2010-07-29,Down,44.2771766285714,3.040828371428688
2010-07-30,Down,6.322627839285815,42.747895160714506
2010-08-02,Down,0.8960799678566218,26.852132032143345
2010-08-03,Down,10.616298899999492,10.121839100000216
2010-08-04,Up,7.23331231428574,16.717775685714514
2010-08-05,Up,3.259892732143271,15.725726267856771
2010-08-06,Up,19.461301917857327,19.386195082142876
2010-08-09,Down,3.4247143964284987,15.560905603571427
2010-08-10,Down,15.228135360714077,16.901373639285794
2010-08-11,Down,28.277097721429072,3.2682382785710615
2010-08-12,Up,26.170945482142542,2.4535265178574264
2010-08-13,Up,1.9277704821429325,14.429070517857326
2010-08-16,Down,3.030397025000184,35.8171009749999
2010-08-17,Up,25.970658628571073,9.663888371428584
2010-08-18,Down,2.726835757142453,31.739365242857275
2010-08-19,Up,2.0602530999999544,40.876454900000226
2010-08-20,Down,6.463456582142953,17.195546417856804
2010-08-23,Down,31.500479925000036,10.559968075000143
2010-08-24,Down,19.865007107143356,11.680328892856778
2010-08-25,Up,36.59008677857173,10.143745221428162
2010-08-26,Down,28.745478964285667,10.394105035713892
2010-08-27,Down,38.33426000357122,20.66720299642884
2010-08-30,Up,10.782162289285225,18.42648271071448
2010-08-31,Down,2.8457563285719516,28.991666671428447
